0.00,0.00,0.00
0.00,6.25,0.00
0.00,12.50,0.00
0.00,18.75,0.00
0.00,25.00,0.00
0.00,31.25,0.00
0.00,37.50,0.00
0.00,43.75,0.00
0.00,50.00,0.00
0.00,56.25,0.00
0.00,62.50,0.00
0.00,68.75,0.00
0.00,75.00,0.00
0.00,81.25,0.00
0.00,87.50,0.00
0.00,93.75,0.00
0.00,100.00,0.00
0.00,106.25,0.00
0.00,112.50,0.00
0.00,118.75,0.00
0.00,125.00,0.00
0.00,131.25,0.00
0.00,137.50,0.00
0.00,143.75,0.00
0.00,150.00,0.00
0.00,156.25,0.00
0.00,162.50,0.00
0.00,168.75,0.00
0.00,175.00,0.00
0.00,181.25,0.00
0.00,187.50,0.00
0.00,193.75,0.00
0.00,200.00,0.00
0.00,206.25,0.00
0.00,212.50,0.00
0.00,218.75,0.00
0.00,225.00,0.00
0.00,231.25,0.00
0.00,237.50,0.00
0.00,243.75,0.00
0.00,250.00,0.00
0.00,256.25,0.00
0.00,262.50,0.00
0.00,268.75,0.00
0.00,275.00,0.00
0.00,281.25,0.00
0.00,287.50,0.00
0.00,293.75,0.00
0.00,300.00,0.00
15.79,0.00,0.00
15.79,6.25,0.00
15.79,12.50,0.00
15.79,18.75,0.00
15.79,25.00,0.00
15.79,31.25,0.00
15.79,37.50,0.00
15.79,43.75,0.00
15.79,50.00,0.00
15.79,56.25,0.00
15.79,62.50,0.00
15.79,68.75,0.00
15.79,75.00,0.00
15.79,81.25,0.00
15.79,87.50,0.00
15.79,93.75,0.00
15.79,100.00,0.00
15.79,106.25,0.00
15.79,112.50,0.00
15.79,118.75,0.00
15.79,125.00,0.00
15.79,131.25,0.00
15.79,137.50,0.00
15.79,143.75,0.00
15.79,150.00,0.00
15.79,156.25,0.00
15.79,162.50,0.00
15.79,168.75,0.00
15.79,175.00,0.00
15.79,181.25,0.00
15.79,187.50,0.00
15.79,193.75,0.00
15.79,200.00,0.00
15.79,206.25,0.00
15.79,212.50,0.00
15.79,218.75,0.00
15.79,225.00,0.00
15.79,231.25,0.00
15.79,237.50,0.00
15.79,243.75,0.00
15.79,250.00,0.00
15.79,256.25,0.00
15.79,262.50,0.00
15.79,268.75,0.00
15.79,275.00,0.00
15.79,281.25,0.00
15.79,287.50,0.00
15.79,293.75,0.00
15.79,300.00,0.00
31.58,0.00,0.00
31.58,6.25,0.00
31.58,12.50,0.00
31.58,18.75,0.00
31.58,25.00,0.00
31.58,31.25,0.00
31.58,37.50,0.00
31.58,43.75,0.00
31.58,50.00,0.00
31.58,56.25,0.00
31.58,62.50,0.00
31.58,68.75,0.00
31.58,75.00,0.00
31.58,81.25,0.00
31.58,87.50,0.00
31.58,93.75,0.00
31.58,100.00,0.00
31.58,106.25,0.00
31.58,112.50,0.00
31.58,118.75,0.00
31.58,125.00,0.00
31.58,131.25,0.00
31.58,137.50,0.00
31.58,143.75,0.00
31.58,150.00,0.00
31.58,156.25,0.00
31.58,162.50,0.00
