# wlstart: 490.0
# wlend: 1000.0
# countthresh: 10000
# aqpixstart: 46
# aqpixend: 963
#  wavelenth in nm 	 intensity in counts
5.169919999999999618e+02	7.868515624999998792e-01
5.175520000000000209e+02	1.533427905701755245e-01
5.181119999999999663e+02	8.575533168859648114e-01
5.186720000000000255e+02	2.667612390350888527e-02
5.192309999999999945e+02	-9.094686129385964879e-01
5.197910000000000537e+02	-4.728019462719295629e-01
5.203509999999999991e+02	4.550927905701754317e-01
5.209109999999999445e+02	9.838647203947366027e-01
5.214710000000000036e+02	-6.540300164473683564e-01
5.220309999999999491e+02	-4.410475603070177497e-01
5.225910000000000082e+02	4.342155975877193264e-01
5.231509999999999536e+02	-9.843808936403510845e-01
5.237100000000000364e+02	4.873691063596493067e-01
5.242699999999999818e+02	-1.593508086622807074e+00
5.248300000000000409e+02	-7.621045778508770407e-01
5.253899999999999864e+02	-5.973677357456140813e-01
5.259500000000000455e+02	1.726322642543861585e-01
5.265099999999999909e+02	1.819825246710526256e+00
5.270689999999999600e+02	2.607364720394736768e+00
5.276290000000000191e+02	-4.822844024122805995e-01
5.281889999999999645e+02	-1.684247532894738442e-01
5.287490000000000236e+02	3.139980811403519229e-02
5.293089999999999691e+02	2.619261239035086120e-01
5.298680000000000518e+02	-1.516323876096490997e+00
5.304279999999999973e+02	1.133252467105263089e-01
5.309880000000000564e+02	-8.158703399122782529e-02
5.315480000000000018e+02	-7.501835252192982084e-01
5.321079999999999472e+02	5.461322642543857686e-01
5.326670000000000300e+02	3.542612390350890345e-02
5.332269999999999754e+02	-2.352124451754396620e-02
5.337870000000000346e+02	4.175313870614036360e-01
5.343469999999999800e+02	-1.185275630482456322e+00
5.349059999999999491e+02	2.952462993421050563e-01
5.354660000000000082e+02	-1.404051946271929863e+00
5.360259999999999536e+02	-2.437010690789475631e-01
5.365860000000000127e+02	4.385796326754386465e-01
5.371449999999999818e+02	1.226119106359649047e+00
5.377050000000000409e+02	2.899787554824563296e-01
5.382649999999999864e+02	-2.601966831140351544e-01
5.388250000000000455e+02	3.299787554824563651e-01
5.393840000000000146e+02	8.938340186403509469e-01
5.399439999999999600e+02	6.375182291666664502e-01
5.405040000000000191e+02	1.569798930921052715e+00
5.410639999999999645e+02	8.134831414473682187e-01
