0.00,0.00,0.00
0.00,3.03,0.00
0.00,6.06,0.00
0.00,9.09,0.00
0.00,12.12,0.00
0.00,15.15,0.00
0.00,18.18,0.00
0.00,21.21,0.00
0.00,24.24,0.00
0.00,27.27,0.00
0.00,30.30,0.00
0.00,33.33,0.00
0.00,36.36,0.00
0.00,39.39,0.00
0.00,42.42,0.00
0.00,45.45,0.00
0.00,48.48,0.00
0.00,51.52,0.00
0.00,54.55,0.00
0.00,57.58,0.00
0.00,60.61,0.00
0.00,63.64,0.00
0.00,66.67,0.00
0.00,69.70,0.00
0.00,72.73,0.00
0.00,75.76,0.00
0.00,78.79,0.00
0.00,81.82,0.00
0.00,84.85,0.00
0.00,87.88,0.00
0.00,90.91,0.00
0.00,93.94,0.00
0.00,96.97,0.00
0.00,100.00,0.00
0.00,103.03,0.00
0.00,106.06,0.00
0.00,109.09,0.00
0.00,112.12,0.00
0.00,115.15,0.00
0.00,118.18,0.00
0.00,121.21,0.00
0.00,124.24,0.00
0.00,127.27,0.00
0.00,130.30,0.00
0.00,133.33,0.00
0.00,136.36,0.00
0.00,139.39,0.00
0.00,142.42,0.00
0.00,145.45,0.00
0.00,148.48,0.00
0.00,151.52,0.00
0.00,154.55,0.00
0.00,157.58,0.00
0.00,160.61,0.00
0.00,163.64,0.00
0.00,166.67,0.00
0.00,169.70,0.00
0.00,172.73,0.00
0.00,175.76,0.00
0.00,178.79,0.00
0.00,181.82,0.00
0.00,184.85,0.00
0.00,187.88,0.00
0.00,190.91,0.00
0.00,193.94,0.00
0.00,196.97,0.00
0.00,200.00,0.00
0.00,203.03,0.00
0.00,206.06,0.00
0.00,209.09,0.00
0.00,212.12,0.00
0.00,215.15,0.00
0.00,218.18,0.00
0.00,221.21,0.00
0.00,224.24,0.00
0.00,227.27,0.00
0.00,230.30,0.00
0.00,233.33,0.00
0.00,236.36,0.00
0.00,239.39,0.00
0.00,242.42,0.00
0.00,245.45,0.00
0.00,248.48,0.00
0.00,251.52,0.00
0.00,254.55,0.00
0.00,257.58,0.00
0.00,260.61,0.00
0.00,263.64,0.00
0.00,266.67,0.00
0.00,269.70,0.00
0.00,272.73,0.00
0.00,275.76,0.00
0.00,278.79,0.00
0.00,281.82,0.00
0.00,284.85,0.00
0.00,287.88,0.00
0.00,290.91,0.00
0.00,293.94,0.00
0.00,296.97,0.00
0.00,300.00,0.00
3.03,0.00,0.00
3.03,3.03,0.00
3.03,6.06,0.00
3.03,9.09,0.00
3.03,12.12,0.00
3.03,15.15,0.00
3.03,18.18,0.00
3.03,21.21,0.00
3.03,24.24,0.00
3.03,27.27,0.00
3.03,30.30,0.00
3.03,33.33,0.00
3.03,36.36,0.00
3.03,39.39,0.00
3.03,42.42,0.00
3.03,45.45,0.00
3.03,48.48,0.00
3.03,51.52,0.00
3.03,54.55,0.00
3.03,57.58,0.00
3.03,60.61,0.00
3.03,63.64,0.00
3.03,66.67,0.00
3.03,69.70,0.00
3.03,72.73,0.00
3.03,75.76,0.00
3.03,78.79,0.00
3.03,81.82,0.00
3.03,84.85,0.00
3.03,87.88,0.00
3.03,90.91,0.00
3.03,93.94,0.00
3.03,96.97,0.00
3.03,100.00,0.00
3.03,103.03,0.00
3.03,106.06,0.00
3.03,109.09,0.00
3.03,112.12,0.00
3.03,115.15,0.00
3.03,118.18,0.00
3.03,121.21,0.00
3.03,124.24,0.00
3.03,127.27,0.00
3.03,130.30,0.00
3.03,133.33,0.00
3.03,136.36,0.00
3.03,139.39,0.00
3.03,142.42,0.00
3.03,145.45,0.00
3.03,148.48,0.00
3.03,151.52,0.00
3.03,154.55,0.00
3.03,157.58,0.00
3.03,160.61,0.00
3.03,163.64,0.00
3.03,166.67,0.00
3.03,169.70,0.00
3.03,172.73,0.00
3.03,175.76,0.00
3.03,178.79,0.00
3.03,181.82,0.00
3.03,184.85,0.00
3.03,187.88,0.00
3.03,190.91,0.00
3.03,193.94,0.00
3.03,196.97,0.00
3.03,200.00,0.00
3.03,203.03,0.00
3.03,206.06,0.00
3.03,209.09,0.00
3.03,212.12,0.00
3.03,215.15,0.00
3.03,218.18,0.00
3.03,221.21,0.00
3.03,224.24,0.00
3.03,227.27,0.00
3.03,230.30,0.00
3.03,233.33,0.00
3.03,236.36,0.00
3.03,239.39,0.00
3.03,242.42,0.00
3.03,245.45,0.00
3.03,248.48,0.00
3.03,251.52,0.00
3.03,254.55,0.00
3.03,257.58,0.00
3.03,260.61,0.00
3.03,263.64,0.00
3.03,266.67,0.00
3.03,269.70,0.00
3.03,272.73,0.00
3.03,275.76,0.00
3.03,278.79,0.00
3.03,281.82,0.00
3.03,284.85,0.00
3.03,287.88,0.00
3.03,290.91,0.00
3.03,293.94,0.00
3.03,296.97,0.00
3.03,300.00,0.00
6.06,0.00,0.00
6.06,3.03,0.00
6.06,6.06,0.00
6.06,9.09,0.00
6.06,12.12,0.00
6.06,15.15,0.00
