X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
40.7035	4.000000000	
40.2328	7.000000000	
39.7620	11.000000000	
39.2913	7.000000000	
38.8206	7.000000000	
38.3499	6.000000000	
37.8792	8.000000000	
37.4085	10.000000000	
36.9378	15.000000000	
36.4670	11.000000000	
35.9963	11.000000000	
35.5256	15.000000000	
35.0549	12.000000000	
34.5842	25.000000000	
34.1135	21.000000000	
33.6428	16.000000000	
33.1720	22.000000000	
32.7013	20.000000000	
32.2306	28.000000000	
31.7599	24.000000000	
31.2892	29.000000000	
30.8185	35.000000000	
30.3478	27.000000000	
29.8770	33.000000000	
29.4063	36.000000000	
28.9356	30.000000000	
28.4649	35.000000000	
27.9942	35.000000000	
27.5235	40.000000000	
27.0528	39.000000000	
26.5820	50.000000000	
26.1113	59.000000000	
25.6406	60.000000000	
25.1699	54.000000000	
24.6992	62.000000000	
24.2285	75.000000000	
23.7578	62.000000000	
23.2870	68.000000000	
22.8163	72.000000000	
22.3456	69.000000000	
21.8749	82.000000000	
21.4042	80.000000000	
20.9335	84.000000000	
20.4628	103.000000000	
19.9920	84.000000000	
19.5213	99.000000000	
19.0506	99.000000000	
18.5799	100.000000000	
18.1092	102.000000000	
17.6385	113.000000000	
17.1678	100.000000000	
16.6970	105.000000000	
16.2263	94.000000000	
15.7556	118.000000000	
15.2849	106.000000000	
14.8142	130.000000000	
14.3435	117.000000000	
13.8728	110.000000000	
13.4020	129.000000000	
12.9313	136.000000000	
12.4606	123.000000000	
11.9899	123.000000000	
11.5192	137.000000000	
11.0485	135.000000000	
10.5778	131.000000000	
10.1070	112.000000000	
9.6363	120.000000000	
9.1656	116.000000000	
8.6949	135.000000000	
8.2242	106.000000000	
7.7535	139.000000000	
7.2828	110.000000000	
6.8120	128.000000000	
6.3413	133.000000000	
5.8706	131.000000000	
5.3999	136.000000000	
4.9292	192.000000000	
4.4585	203.000000000	
3.9878	280.000000000	
3.5170	309.000000000	
3.0463	401.000000000	
2.5756	514.000000000	
2.1049	796.000000000	
1.6342	1432.000000000	
1.1635	2258.000000000	
0.6928	2940.000000000	
0.2220	3571.000000000	
-0.2487	3652.000000000	
-0.7194	3628.000000000	
-1.1901	3619.000000000	
-1.6608	3457.000000000	
-2.1315	3199.000000000	
-2.6023	2293.000000000	
-3.0730	1174.000000000	
-3.5437	386.000000000	
-4.0144	89.000000000	
-4.4851	12.000000000	
-4.9558	0.000000000	
-5.4265	1.000000000	
-5.8973	0.000000000	
-6.3680	0.000000000	
-6.8387	1.000000000	
