X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
26.4292	1.000000000	
26.1363	0.000000000	
25.8434	1.000000000	
25.5504	0.000000000	
25.2575	0.000000000	
24.9646	0.000000000	
24.6717	0.000000000	
24.3787	2.000000000	
24.0858	1.000000000	
23.7929	0.000000000	
23.4999	0.000000000	
23.2070	1.000000000	
22.9141	1.000000000	
22.6212	1.000000000	
22.3282	1.000000000	
22.0353	0.000000000	
21.7424	0.000000000	
21.4495	0.000000000	
21.1565	1.000000000	
20.8636	1.000000000	
20.5707	1.000000000	
20.2778	0.000000000	
19.9848	1.000000000	
19.6919	1.000000000	
19.3990	3.000000000	
19.1060	1.000000000	
18.8131	1.000000000	
18.5202	1.000000000	
18.2273	11.000000000	
17.9343	4.000000000	
17.6414	8.000000000	
17.3485	13.000000000	
17.0556	14.000000000	
16.7626	28.000000000	
16.4697	33.000000000	
16.1768	39.000000000	
15.8838	37.000000000	
15.5909	40.000000000	
15.2980	57.000000000	
15.0051	47.000000000	
14.7121	65.000000000	
14.4192	74.000000000	
14.1263	71.000000000	
13.8334	79.000000000	
13.5404	74.000000000	
13.2475	66.000000000	
12.9546	60.000000000	
12.6616	75.000000000	
12.3687	71.000000000	
12.0758	77.000000000	
11.7829	69.000000000	
11.4899	85.000000000	
11.1970	71.000000000	
10.9041	65.000000000	
10.6112	71.000000000	
10.3182	76.000000000	
10.0253	75.000000000	
9.7324	71.000000000	
9.4394	64.000000000	
9.1465	94.000000000	
8.8536	73.000000000	
8.5607	93.000000000	
8.2677	74.000000000	
7.9748	86.000000000	
7.6819	79.000000000	
7.3890	98.000000000	
7.0960	61.000000000	
6.8031	96.000000000	
6.5102	77.000000000	
6.2173	76.000000000	
5.9243	65.000000000	
5.6314	78.000000000	
5.3385	79.000000000	
5.0455	94.000000000	
4.7526	107.000000000	
4.4597	98.000000000	
4.1668	93.000000000	
3.8738	97.000000000	
3.5809	114.000000000	
3.2880	107.000000000	
2.9951	175.000000000	
2.7021	205.000000000	
2.4092	305.000000000	
2.1163	377.000000000	
1.8233	572.000000000	
1.5304	714.000000000	
1.2375	740.000000000	
0.9446	732.000000000	
0.6516	695.000000000	
0.3587	666.000000000	
0.0658	647.000000000	
-0.2271	615.000000000	
-0.5201	612.000000000	
-0.8130	550.000000000	
-1.1059	571.000000000	
-1.3989	633.000000000	
-1.6918	753.000000000	
-1.9847	764.000000000	
-2.2776	940.000000000	
-2.5706	1147.000000000	
-2.8635	1427.000000000	
-3.1564	1776.000000000	
-3.4493	2372.000000000	
-3.7423	2752.000000000	
-4.0352	3138.000000000	
-4.3281	3409.000000000	
-4.6211	3280.000000000	
-4.9140	2833.000000000	
-5.2069	2030.000000000	
-5.4998	1380.000000000	
-5.7928	972.000000000	
-6.0857	689.000000000	
-6.3786	525.000000000	
-6.6715	438.000000000	
-6.9645	437.000000000	
-7.2574	424.000000000	
-7.5503	286.000000000	
-7.8432	223.000000000	
-8.1362	158.000000000	
-8.4291	88.000000000	
-8.7220	61.000000000	
-9.0150	46.000000000	
-9.3079	29.000000000	
-9.6008	17.000000000	
-9.8937	14.000000000	
-10.1867	5.000000000	
-10.4796	2.000000000	
-10.7725	3.000000000	
