X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
32.8709	1.000000000	
32.5816	0.000000000	
32.2923	0.000000000	
32.0029	0.000000000	
31.7136	1.000000000	
31.4243	0.000000000	
31.1349	0.000000000	
30.8456	0.000000000	
30.5563	1.000000000	
30.2669	0.000000000	
29.9776	0.000000000	
29.6883	0.000000000	
29.3989	0.000000000	
29.1096	1.000000000	
28.8203	1.000000000	
28.5309	0.000000000	
28.2416	1.000000000	
27.9523	1.000000000	
27.6629	2.000000000	
27.3736	0.000000000	
27.0843	1.000000000	
26.7949	1.000000000	
26.5056	1.000000000	
26.2163	2.000000000	
25.9269	2.000000000	
25.6376	6.000000000	
25.3483	4.000000000	
25.0589	4.000000000	
24.7696	3.000000000	
24.4803	7.000000000	
24.1909	0.000000000	
23.9016	5.000000000	
23.6123	6.000000000	
23.3229	7.000000000	
23.0336	1.000000000	
22.7443	6.000000000	
22.4549	5.000000000	
22.1656	7.000000000	
21.8763	7.000000000	
21.5869	6.000000000	
21.2976	5.000000000	
21.0083	7.000000000	
20.7189	8.000000000	
20.4296	9.000000000	
20.1403	6.000000000	
19.8509	9.000000000	
19.5616	10.000000000	
19.2723	21.000000000	
18.9829	16.000000000	
18.6936	15.000000000	
18.4043	11.000000000	
18.1149	15.000000000	
17.8256	14.000000000	
17.5363	14.000000000	
17.2469	12.000000000	
16.9576	25.000000000	
16.6683	15.000000000	
16.3789	20.000000000	
16.0896	19.000000000	
15.8003	24.000000000	
15.5109	21.000000000	
15.2216	14.000000000	
14.9323	15.000000000	
14.6429	14.000000000	
14.3536	25.000000000	
14.0643	23.000000000	
13.7749	23.000000000	
13.4856	24.000000000	
13.1963	20.000000000	
12.9069	14.000000000	
12.6176	18.000000000	
12.3283	20.000000000	
12.0389	14.000000000	
11.7496	20.000000000	
11.4603	16.000000000	
11.1709	20.000000000	
10.8816	20.000000000	
10.5923	24.000000000	
10.3029	22.000000000	
10.0136	32.000000000	
9.7243	25.000000000	
9.4349	34.000000000	
9.1456	37.000000000	
8.8563	37.000000000	
8.5669	50.000000000	
8.2776	49.000000000	
7.9883	46.000000000	
7.6989	83.000000000	
7.4096	87.000000000	
7.1203	121.000000000	
6.8309	123.000000000	
6.5416	165.000000000	
6.2523	186.000000000	
5.9629	248.000000000	
5.6736	260.000000000	
5.3843	386.000000000	
5.0949	506.000000000	
4.8056	729.000000000	
4.5163	1247.000000000	
4.2269	1575.000000000	
3.9376	2025.000000000	
3.6483	2421.000000000	
3.3589	2677.000000000	
3.0696	2968.000000000	
2.7803	2830.000000000	
2.4909	2442.000000000	
2.2016	2069.000000000	
1.9123	1627.000000000	
1.6229	1131.000000000	
1.3336	845.000000000	
1.0443	621.000000000	
0.7549	535.000000000	
0.4656	466.000000000	
0.1763	412.000000000	
-0.1131	388.000000000	
-0.4024	350.000000000	
-0.6917	351.000000000	
-0.9811	343.000000000	
-1.2704	400.000000000	
-1.5597	396.000000000	
-1.8491	505.000000000	
-2.1384	669.000000000	
-2.4277	838.000000000	
-2.7171	879.000000000	
-3.0064	713.000000000	
-3.2957	372.000000000	
-3.5851	131.000000000	
-3.8744	18.000000000	
