X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
26.5990	1.000000000	
26.3203	0.000000000	
26.0417	0.000000000	
25.7630	2.000000000	
25.4844	0.000000000	
25.2057	0.000000000	
24.9271	3.000000000	
24.6484	0.000000000	
24.3698	2.000000000	
24.0911	4.000000000	
23.8124	3.000000000	
23.5338	6.000000000	
23.2551	5.000000000	
22.9765	7.000000000	
22.6978	7.000000000	
22.4192	6.000000000	
22.1405	17.000000000	
21.8619	17.000000000	
21.5832	25.000000000	
21.3045	34.000000000	
21.0259	31.000000000	
20.7472	34.000000000	
20.4686	31.000000000	
20.1899	38.000000000	
19.9113	54.000000000	
19.6326	31.000000000	
19.3540	48.000000000	
19.0753	47.000000000	
18.7966	56.000000000	
18.5180	79.000000000	
18.2393	45.000000000	
17.9607	92.000000000	
17.6820	89.000000000	
17.4034	102.000000000	
17.1247	104.000000000	
16.8461	73.000000000	
16.5674	98.000000000	
16.2887	103.000000000	
16.0101	94.000000000	
15.7314	103.000000000	
15.4528	109.000000000	
15.1741	126.000000000	
14.8955	125.000000000	
14.6168	99.000000000	
14.3382	114.000000000	
14.0595	117.000000000	
13.7808	101.000000000	
13.5022	102.000000000	
13.2235	114.000000000	
12.9449	104.000000000	
12.6662	97.000000000	
12.3876	94.000000000	
12.1089	114.000000000	
11.8302	100.000000000	
11.5516	103.000000000	
11.2729	112.000000000	
10.9943	106.000000000	
10.7156	99.000000000	
10.4370	102.000000000	
10.1583	99.000000000	
9.8797	120.000000000	
9.6010	109.000000000	
9.3223	123.000000000	
9.0437	110.000000000	
8.7650	126.000000000	
8.4864	107.000000000	
8.2077	144.000000000	
7.9291	136.000000000	
7.6504	162.000000000	
7.3718	142.000000000	
7.0931	144.000000000	
6.8144	156.000000000	
6.5358	165.000000000	
6.2571	179.000000000	
5.9785	175.000000000	
5.6998	215.000000000	
5.4212	237.000000000	
5.1425	256.000000000	
4.8639	223.000000000	
4.5852	278.000000000	
4.3065	305.000000000	
4.0279	329.000000000	
3.7492	329.000000000	
3.4706	358.000000000	
3.1919	361.000000000	
2.9133	398.000000000	
2.6346	415.000000000	
2.3560	452.000000000	
2.0773	512.000000000	
1.7986	568.000000000	
1.5200	605.000000000	
1.2413	623.000000000	
0.9627	704.000000000	
0.6840	770.000000000	
0.4054	847.000000000	
0.1267	827.000000000	
-0.1519	767.000000000	
-0.4306	727.000000000	
-0.7093	706.000000000	
-0.9879	601.000000000	
-1.2666	572.000000000	
-1.5452	504.000000000	
-1.8239	451.000000000	
-2.1025	398.000000000	
-2.3812	399.000000000	
-2.6598	359.000000000	
-2.9385	313.000000000	
-3.2172	327.000000000	
-3.4958	328.000000000	
-3.7745	310.000000000	
-4.0531	293.000000000	
-4.3318	273.000000000	
-4.6104	324.000000000	
-4.8891	338.000000000	
-5.1678	376.000000000	
-5.4464	393.000000000	
-5.7251	462.000000000	
-6.0037	421.000000000	
-6.2824	367.000000000	
-6.5610	331.000000000	
-6.8397	248.000000000	
-7.1183	211.000000000	
-7.3970	138.000000000	
-7.6757	82.000000000	
-7.9543	43.000000000	
-8.2330	21.000000000	
-8.5116	10.000000000	
-8.7903	1.000000000	
