X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
15.1257	1.000000000	
14.9377	0.000000000	
14.7496	0.000000000	
14.5616	0.000000000	
14.3735	0.000000000	
14.1855	2.000000000	
13.9974	1.000000000	
13.8094	0.000000000	
13.6214	0.000000000	
13.4333	1.000000000	
13.2453	2.000000000	
13.0572	1.000000000	
12.8692	2.000000000	
12.6811	1.000000000	
12.4931	2.000000000	
12.3051	2.000000000	
12.1170	0.000000000	
11.9290	0.000000000	
11.7409	2.000000000	
11.5529	3.000000000	
11.3648	1.000000000	
11.1768	3.000000000	
10.9888	3.000000000	
10.8007	2.000000000	
10.6127	1.000000000	
10.4246	2.000000000	
10.2366	4.000000000	
10.0485	2.000000000	
9.8605	4.000000000	
9.6725	0.000000000	
9.4844	1.000000000	
9.2964	1.000000000	
9.1083	1.000000000	
8.9203	2.000000000	
8.7322	3.000000000	
8.5442	0.000000000	
8.3562	4.000000000	
8.1681	1.000000000	
7.9801	1.000000000	
7.7920	2.000000000	
7.6040	0.000000000	
7.4159	2.000000000	
7.2279	1.000000000	
7.0399	0.000000000	
6.8518	2.000000000	
6.6638	0.000000000	
6.4757	2.000000000	
6.2877	3.000000000	
6.0996	1.000000000	
5.9116	1.000000000	
5.7236	1.000000000	
5.5355	1.000000000	
5.3475	1.000000000	
5.1594	0.000000000	
4.9714	0.000000000	
4.7833	3.000000000	
4.5953	1.000000000	
4.4073	1.000000000	
4.2192	2.000000000	
4.0312	0.000000000	
3.8431	1.000000000	
3.6551	1.000000000	
3.4670	3.000000000	
3.2790	1.000000000	
3.0910	2.000000000	
2.9029	1.000000000	
2.7149	0.000000000	
2.5268	2.000000000	
2.3388	1.000000000	
2.1508	2.000000000	
1.9627	0.000000000	
1.7747	0.000000000	
1.5866	6.000000000	
1.3986	6.000000000	
1.2105	3.000000000	
1.0225	6.000000000	
0.8345	7.000000000	
0.6464	7.000000000	
0.4584	6.000000000	
0.2703	7.000000000	
0.0823	12.000000000	
-0.1058	25.000000000	
-0.2938	34.000000000	
-0.4818	47.000000000	
-0.6699	72.000000000	
-0.8579	139.000000000	
-1.0460	176.000000000	
-1.2340	275.000000000	
-1.4221	414.000000000	
-1.6101	686.000000000	
-1.7981	1107.000000000	
-1.9862	1640.000000000	
-2.1742	2194.000000000	
-2.3623	2772.000000000	
-2.5503	3378.000000000	
-2.7384	3662.000000000	
-2.9264	3482.000000000	
-3.1144	3195.000000000	
-3.3025	2473.000000000	
-3.4905	1872.000000000	
-3.6786	1386.000000000	
-3.8666	969.000000000	
-4.0547	685.000000000	
-4.2427	569.000000000	
-4.4307	465.000000000	
-4.6188	484.000000000	
-4.8068	457.000000000	
-4.9949	472.000000000	
-5.1829	467.000000000	
-5.3710	430.000000000	
-5.5590	388.000000000	
-5.7470	348.000000000	
-5.9351	260.000000000	
-6.1231	236.000000000	
-6.3112	189.000000000	
-6.4992	163.000000000	
-6.6873	130.000000000	
-6.8753	76.000000000	
-7.0633	73.000000000	
-7.2514	49.000000000	
-7.4394	35.000000000	
-7.6275	26.000000000	
-7.8155	17.000000000	
-8.0036	5.000000000	
-8.1916	2.000000000	
-8.3796	0.000000000	
-8.5677	1.000000000	
-8.7557	1.000000000	
