X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
32.3931	2.000000000	
32.1003	1.000000000	
31.8076	0.000000000	
31.5148	0.000000000	
31.2221	0.000000000	
30.9293	0.000000000	
30.6366	1.000000000	
30.3438	0.000000000	
30.0510	0.000000000	
29.7583	0.000000000	
29.4655	0.000000000	
29.1728	3.000000000	
28.8800	0.000000000	
28.5873	3.000000000	
28.2945	2.000000000	
28.0018	3.000000000	
27.7090	3.000000000	
27.4163	3.000000000	
27.1235	8.000000000	
26.8308	6.000000000	
26.5380	2.000000000	
26.2453	5.000000000	
25.9525	3.000000000	
25.6598	5.000000000	
25.3670	5.000000000	
25.0743	4.000000000	
24.7815	8.000000000	
24.4888	8.000000000	
24.1960	7.000000000	
23.9032	11.000000000	
23.6105	11.000000000	
23.3177	7.000000000	
23.0250	15.000000000	
22.7322	6.000000000	
22.4395	12.000000000	
22.1467	9.000000000	
21.8540	18.000000000	
21.5612	12.000000000	
21.2685	14.000000000	
20.9757	19.000000000	
20.6830	10.000000000	
20.3902	19.000000000	
20.0975	9.000000000	
19.8047	20.000000000	
19.5120	10.000000000	
19.2192	22.000000000	
18.9265	9.000000000	
18.6337	23.000000000	
18.3410	17.000000000	
18.0482	18.000000000	
17.7554	15.000000000	
17.4627	17.000000000	
17.1699	17.000000000	
16.8772	13.000000000	
16.5844	16.000000000	
16.2917	16.000000000	
15.9989	11.000000000	
15.7062	20.000000000	
15.4134	11.000000000	
15.1207	19.000000000	
14.8279	23.000000000	
14.5352	10.000000000	
14.2424	19.000000000	
13.9497	17.000000000	
13.6569	19.000000000	
13.3642	11.000000000	
13.0714	18.000000000	
12.7787	17.000000000	
12.4859	17.000000000	
12.1932	31.000000000	
11.9004	23.000000000	
11.6076	18.000000000	
11.3149	15.000000000	
11.0221	16.000000000	
10.7294	22.000000000	
10.4366	24.000000000	
10.1439	23.000000000	
9.8511	15.000000000	
9.5584	9.000000000	
9.2656	21.000000000	
8.9729	19.000000000	
8.6801	13.000000000	
8.3874	14.000000000	
8.0946	19.000000000	
7.8019	22.000000000	
7.5091	16.000000000	
7.2164	21.000000000	
6.9236	11.000000000	
6.6309	19.000000000	
6.3381	16.000000000	
6.0453	9.000000000	
5.7526	16.000000000	
5.4598	22.000000000	
5.1671	14.000000000	
4.8743	27.000000000	
4.5816	23.000000000	
4.2888	34.000000000	
3.9961	36.000000000	
3.7033	46.000000000	
3.4106	77.000000000	
3.1178	91.000000000	
2.8251	101.000000000	
2.5323	131.000000000	
2.2396	151.000000000	
1.9468	170.000000000	
1.6541	183.000000000	
1.3613	199.000000000	
1.0686	215.000000000	
0.7758	212.000000000	
0.4831	200.000000000	
0.1903	221.000000000	
-0.1025	216.000000000	
-0.3952	241.000000000	
-0.6880	245.000000000	
-0.9807	315.000000000	
-1.2735	319.000000000	
-1.5662	433.000000000	
-1.8590	794.000000000	
-2.1517	1575.000000000	
-2.4445	3201.000000000	
-2.7372	5095.000000000	
-3.0300	5703.000000000	
-3.3227	4660.000000000	
-3.6155	3526.000000000	
-3.9082	2419.000000000	
-4.2010	1049.000000000	
-4.4937	230.000000000	
-4.7865	35.000000000	
