X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
36.7183	1.000000000	
36.0820	0.000000000	
35.4457	0.000000000	
34.8094	0.000000000	
34.1731	1.000000000	
33.5368	0.000000000	
32.9005	2.000000000	
32.2642	0.000000000	
31.6279	0.000000000	
30.9916	1.000000000	
30.3553	1.000000000	
29.7190	0.000000000	
29.0827	0.000000000	
28.4464	1.000000000	
27.8101	0.000000000	
27.1738	0.000000000	
26.5375	0.000000000	
25.9012	1.000000000	
25.2649	1.000000000	
24.6286	0.000000000	
23.9923	1.000000000	
23.3560	1.000000000	
22.7197	0.000000000	
22.0834	1.000000000	
21.4471	2.000000000	
20.8108	5.000000000	
20.1745	2.000000000	
19.5382	3.000000000	
18.9019	6.000000000	
18.2656	6.000000000	
17.6293	13.000000000	
16.9930	8.000000000	
16.3567	9.000000000	
15.7204	20.000000000	
15.0841	23.000000000	
14.4478	14.000000000	
13.8115	14.000000000	
13.1752	14.000000000	
12.5389	16.000000000	
11.9026	16.000000000	
11.2663	32.000000000	
10.6300	28.000000000	
9.9937	33.000000000	
9.3574	39.000000000	
8.7211	47.000000000	
8.0848	63.000000000	
7.4485	103.000000000	
6.8122	171.000000000	
6.1759	261.000000000	
5.5396	440.000000000	
4.9033	582.000000000	
4.2670	805.000000000	
3.6307	1053.000000000	
2.9944	1339.000000000	
2.3581	1558.000000000	
1.7218	1822.000000000	
1.0855	1920.000000000	
0.4492	2077.000000000	
-0.1871	2232.000000000	
-0.8234	2161.000000000	
-1.4597	2255.000000000	
-2.0960	3016.000000000	
-2.7323	2876.000000000	
-3.3686	2617.000000000	
-4.0049	2481.000000000	
-4.6412	2450.000000000	
-5.2775	2658.000000000	
-5.9138	2977.000000000	
-6.5501	3274.000000000	
-7.1864	3552.000000000	
-7.8227	3832.000000000	
-8.4590	4137.000000000	
-9.0953	4302.000000000	
-9.7316	4226.000000000	
-10.3679	3882.000000000	
-11.0042	3422.000000000	
-11.6405	3279.000000000	
-12.2768	2982.000000000	
-12.9131	2998.000000000	
-13.5494	2906.000000000	
-14.1857	2743.000000000	
-14.8220	2658.000000000	
-15.4583	2018.000000000	
-16.0946	1854.000000000	
-16.7309	1627.000000000	
-17.3672	1689.000000000	
-18.0035	1479.000000000	
-18.6398	1529.000000000	
-19.2761	1654.000000000	
-19.9124	1802.000000000	
-20.5487	1594.000000000	
-21.1850	1505.000000000	
-21.8213	1380.000000000	
-22.4576	1438.000000000	
-23.0939	1188.000000000	
-23.7302	1084.000000000	
-24.3665	885.000000000	
-25.0028	690.000000000	
-25.6391	650.000000000	
-26.2754	708.000000000	
-26.9117	775.000000000	
-27.5480	773.000000000	
-28.1843	577.000000000	
-28.8206	514.000000000	
-29.4569	617.000000000	
-30.0932	583.000000000	
-30.7295	456.000000000	
-31.3658	452.000000000	
-32.0021	596.000000000	
-32.6384	638.000000000	
-33.2747	467.000000000	
-33.9110	446.000000000	
-34.5473	406.000000000	
-35.1836	346.000000000	
-35.8199	256.000000000	
-36.4562	199.000000000	
-37.0925	138.000000000	
-37.7288	51.000000000	
-38.3651	20.000000000	
-39.0014	16.000000000	
-39.6377	6.000000000	
-40.2740	2.000000000	
-40.9103	2.000000000	
-41.5466	2.000000000	
-42.1829	3.000000000	
-42.8192	2.000000000	
-43.4555	1.000000000	
-44.0918	2.000000000	
