X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
25.5854	1.000000000	
25.3310	0.000000000	
25.0766	1.000000000	
24.8221	0.000000000	
24.5677	0.000000000	
24.3133	0.000000000	
24.0589	1.000000000	
23.8045	1.000000000	
23.5501	0.000000000	
23.2957	0.000000000	
23.0413	1.000000000	
22.7869	5.000000000	
22.5325	3.000000000	
22.2781	7.000000000	
22.0236	7.000000000	
21.7692	7.000000000	
21.5148	16.000000000	
21.2604	15.000000000	
21.0060	11.000000000	
20.7516	13.000000000	
20.4972	15.000000000	
20.2428	11.000000000	
19.9884	20.000000000	
19.7340	19.000000000	
19.4796	33.000000000	
19.2252	37.000000000	
18.9707	33.000000000	
18.7163	38.000000000	
18.4619	55.000000000	
18.2075	41.000000000	
17.9531	66.000000000	
17.6987	54.000000000	
17.4443	62.000000000	
17.1899	70.000000000	
16.9355	76.000000000	
16.6811	80.000000000	
16.4267	94.000000000	
16.1722	90.000000000	
15.9178	93.000000000	
15.6634	70.000000000	
15.4090	79.000000000	
15.1546	88.000000000	
14.9002	78.000000000	
14.6458	82.000000000	
14.3914	89.000000000	
14.1370	79.000000000	
13.8826	89.000000000	
13.6282	83.000000000	
13.3737	76.000000000	
13.1193	70.000000000	
12.8649	92.000000000	
12.6105	71.000000000	
12.3561	75.000000000	
12.1017	78.000000000	
11.8473	77.000000000	
11.5929	80.000000000	
11.3385	83.000000000	
11.0841	85.000000000	
10.8297	77.000000000	
10.5752	87.000000000	
10.3208	81.000000000	
10.0664	86.000000000	
9.8120	92.000000000	
9.5576	55.000000000	
9.3032	89.000000000	
9.0488	82.000000000	
8.7944	106.000000000	
8.5400	81.000000000	
8.2856	104.000000000	
8.0312	80.000000000	
7.7767	89.000000000	
7.5223	98.000000000	
7.2679	94.000000000	
7.0135	110.000000000	
6.7591	105.000000000	
6.5047	101.000000000	
6.2503	133.000000000	
5.9959	144.000000000	
5.7415	130.000000000	
5.4871	139.000000000	
5.2327	165.000000000	
4.9782	189.000000000	
4.7238	177.000000000	
4.4694	240.000000000	
4.2150	199.000000000	
3.9606	221.000000000	
3.7062	254.000000000	
3.4518	267.000000000	
3.1974	272.000000000	
2.9430	282.000000000	
2.6886	311.000000000	
2.4342	318.000000000	
2.1797	321.000000000	
1.9253	397.000000000	
1.6709	411.000000000	
1.4165	473.000000000	
1.1621	588.000000000	
0.9077	639.000000000	
0.6533	731.000000000	
0.3989	842.000000000	
0.1445	880.000000000	
-0.1099	892.000000000	
-0.3643	831.000000000	
-0.6188	808.000000000	
-0.8732	697.000000000	
-1.1276	601.000000000	
-1.3820	431.000000000	
-1.6364	315.000000000	
-1.8908	236.000000000	
-2.1452	145.000000000	
-2.3996	130.000000000	
-2.6540	133.000000000	
-2.9084	118.000000000	
-3.1628	130.000000000	
-3.4173	108.000000000	
-3.6717	116.000000000	
-3.9261	133.000000000	
-4.1805	117.000000000	
-4.4349	131.000000000	
-4.6893	107.000000000	
-4.9437	111.000000000	
-5.1981	104.000000000	
-5.4525	72.000000000	
-5.7069	45.000000000	
-5.9613	18.000000000	
-6.2158	12.000000000	
-6.4702	6.000000000	
-6.7246	1.000000000	
