X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
33.2837	11.000000000	
32.8710	12.000000000	
32.4583	17.000000000	
32.0455	11.000000000	
31.6328	14.000000000	
31.2201	24.000000000	
30.8073	27.000000000	
30.3946	16.000000000	
29.9819	20.000000000	
29.5691	21.000000000	
29.1564	14.000000000	
28.7436	20.000000000	
28.3309	28.000000000	
27.9182	27.000000000	
27.5054	37.000000000	
27.0927	32.000000000	
26.6800	37.000000000	
26.2672	38.000000000	
25.8545	40.000000000	
25.4418	42.000000000	
25.0290	47.000000000	
24.6163	62.000000000	
24.2036	53.000000000	
23.7908	69.000000000	
23.3781	50.000000000	
22.9653	65.000000000	
22.5526	55.000000000	
22.1399	64.000000000	
21.7271	47.000000000	
21.3144	79.000000000	
20.9017	77.000000000	
20.4889	92.000000000	
20.0762	86.000000000	
19.6635	76.000000000	
19.2507	98.000000000	
18.8380	82.000000000	
18.4253	89.000000000	
18.0125	86.000000000	
17.5998	102.000000000	
17.1870	95.000000000	
16.7743	101.000000000	
16.3616	98.000000000	
15.9488	111.000000000	
15.5361	129.000000000	
15.1234	110.000000000	
14.7106	137.000000000	
14.2979	126.000000000	
13.8852	126.000000000	
13.4724	155.000000000	
13.0597	125.000000000	
12.6470	112.000000000	
12.2342	134.000000000	
11.8215	137.000000000	
11.4087	113.000000000	
10.9960	137.000000000	
10.5833	127.000000000	
10.1705	137.000000000	
9.7578	125.000000000	
9.3451	109.000000000	
8.9323	132.000000000	
8.5196	132.000000000	
8.1069	132.000000000	
7.6941	110.000000000	
7.2814	129.000000000	
6.8687	123.000000000	
6.4559	125.000000000	
6.0432	122.000000000	
5.6304	155.000000000	
5.2177	167.000000000	
4.8050	161.000000000	
4.3922	229.000000000	
3.9795	265.000000000	
3.5668	373.000000000	
3.1540	410.000000000	
2.7413	567.000000000	
2.3286	821.000000000	
1.9158	1129.000000000	
1.5031	1503.000000000	
1.0904	2008.000000000	
0.6776	2451.000000000	
0.2649	2935.000000000	
-0.1479	3151.000000000	
-0.5606	3177.000000000	
-0.9733	3170.000000000	
-1.3861	3127.000000000	
-1.7988	2959.000000000	
-2.2115	2431.000000000	
-2.6243	1829.000000000	
-3.0370	985.000000000	
-3.4497	324.000000000	
-3.8625	76.000000000	
-4.2752	18.000000000	
-4.6879	4.000000000	
-5.1007	1.000000000	
-5.5134	4.000000000	
-5.9262	0.000000000	
-6.3389	1.000000000	
-6.7516	0.000000000	
-7.1644	1.000000000	
-7.5771	1.000000000	
