X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
34.2134	1.000000000	
34.0430	0.000000000	
33.8726	0.000000000	
33.7021	0.000000000	
33.5317	0.000000000	
33.3613	0.000000000	
33.1908	0.000000000	
33.0204	0.000000000	
32.8500	0.000000000	
32.6795	1.000000000	
32.5091	0.000000000	
32.3387	3.000000000	
32.1682	1.000000000	
31.9978	0.000000000	
31.8274	0.000000000	
31.6569	1.000000000	
31.4865	0.000000000	
31.3161	1.000000000	
31.1456	0.000000000	
30.9752	0.000000000	
30.8048	2.000000000	
30.6344	3.000000000	
30.4639	1.000000000	
30.2935	2.000000000	
30.1231	4.000000000	
29.9526	0.000000000	
29.7822	4.000000000	
29.6118	3.000000000	
29.4413	0.000000000	
29.2709	0.000000000	
29.1005	0.000000000	
28.9300	2.000000000	
28.7596	2.000000000	
28.5892	1.000000000	
28.4187	1.000000000	
28.2483	0.000000000	
28.0779	2.000000000	
27.9074	2.000000000	
27.7370	0.000000000	
27.5666	2.000000000	
27.3961	1.000000000	
27.2257	1.000000000	
27.0553	3.000000000	
26.8848	1.000000000	
26.7144	1.000000000	
26.5440	2.000000000	
26.3735	3.000000000	
26.2031	2.000000000	
26.0327	3.000000000	
25.8622	1.000000000	
25.6918	2.000000000	
25.5214	3.000000000	
25.3509	4.000000000	
25.1805	0.000000000	
25.0101	4.000000000	
24.8396	2.000000000	
24.6692	2.000000000	
24.4988	3.000000000	
24.3283	0.000000000	
24.1579	2.000000000	
23.9875	2.000000000	
23.8170	4.000000000	
23.6466	2.000000000	
23.4762	1.000000000	
23.3057	0.000000000	
23.1353	4.000000000	
22.9649	1.000000000	
22.7944	0.000000000	
22.6240	2.000000000	
22.4536	2.000000000	
22.2831	1.000000000	
22.1127	2.000000000	
21.9423	1.000000000	
21.7718	4.000000000	
21.6014	2.000000000	
21.4310	6.000000000	
21.2605	4.000000000	
21.0901	6.000000000	
20.9197	10.000000000	
20.7492	5.000000000	
20.5788	6.000000000	
20.4084	4.000000000	
20.2379	3.000000000	
20.0675	9.000000000	
19.8971	10.000000000	
19.7266	15.000000000	
19.5562	15.000000000	
19.3858	23.000000000	
19.2153	45.000000000	
19.0449	69.000000000	
18.8745	90.000000000	
18.7040	113.000000000	
18.5336	169.000000000	
18.3632	201.000000000	
18.1927	281.000000000	
18.0223	312.000000000	
17.8519	363.000000000	
17.6815	410.000000000	
17.5110	445.000000000	
17.3406	438.000000000	
17.1702	473.000000000	
16.9997	501.000000000	
16.8293	468.000000000	
16.6589	476.000000000	
16.4884	523.000000000	
16.3180	462.000000000	
16.1476	420.000000000	
15.9771	385.000000000	
15.8067	349.000000000	
15.6363	312.000000000	
15.4658	295.000000000	
15.2954	273.000000000	
15.1250	254.000000000	
14.9545	236.000000000	
14.7841	190.000000000	
14.6137	174.000000000	
14.4432	147.000000000	
14.2728	101.000000000	
14.1024	82.000000000	
13.9319	63.000000000	
13.7615	58.000000000	
13.5911	45.000000000	
13.4206	31.000000000	
13.2502	22.000000000	
13.0798	12.000000000	
12.9093	5.000000000	
12.7389	3.000000000	
12.5685	1.000000000	
