X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
44.5648	1.000000000	
44.1897	0.000000000	
43.8146	0.000000000	
43.4396	0.000000000	
43.0645	0.000000000	
42.6895	2.000000000	
42.3144	1.000000000	
41.9394	2.000000000	
41.5643	1.000000000	
41.1892	0.000000000	
40.8142	3.000000000	
40.4391	1.000000000	
40.0641	0.000000000	
39.6890	2.000000000	
39.3140	1.000000000	
38.9389	1.000000000	
38.5638	0.000000000	
38.1888	1.000000000	
37.8137	1.000000000	
37.4387	3.000000000	
37.0636	0.000000000	
36.6885	0.000000000	
36.3135	3.000000000	
35.9384	2.000000000	
35.5634	2.000000000	
35.1883	2.000000000	
34.8133	0.000000000	
34.4382	3.000000000	
34.0631	0.000000000	
33.6881	2.000000000	
33.3130	1.000000000	
32.9380	3.000000000	
32.5629	2.000000000	
32.1879	0.000000000	
31.8128	4.000000000	
31.4377	1.000000000	
31.0627	2.000000000	
30.6876	4.000000000	
30.3126	6.000000000	
29.9375	7.000000000	
29.5625	5.000000000	
29.1874	8.000000000	
28.8123	8.000000000	
28.4373	10.000000000	
28.0622	7.000000000	
27.6872	9.000000000	
27.3121	13.000000000	
26.9370	7.000000000	
26.5620	15.000000000	
26.1869	13.000000000	
25.8119	13.000000000	
25.4368	22.000000000	
25.0618	11.000000000	
24.6867	26.000000000	
24.3116	18.000000000	
23.9366	24.000000000	
23.5615	31.000000000	
23.1865	37.000000000	
22.8114	45.000000000	
22.4364	55.000000000	
22.0613	61.000000000	
21.6862	59.000000000	
21.3112	77.000000000	
20.9361	90.000000000	
20.5611	109.000000000	
20.1860	103.000000000	
19.8110	129.000000000	
19.4359	139.000000000	
19.0608	116.000000000	
18.6858	147.000000000	
18.3107	140.000000000	
17.9357	140.000000000	
17.5606	139.000000000	
17.1855	155.000000000	
16.8105	132.000000000	
16.4354	134.000000000	
16.0604	171.000000000	
15.6853	138.000000000	
15.3103	114.000000000	
14.9352	140.000000000	
14.5601	133.000000000	
14.1851	110.000000000	
13.8100	122.000000000	
13.4350	115.000000000	
13.0599	125.000000000	
12.6849	116.000000000	
12.3098	106.000000000	
11.9347	137.000000000	
11.5597	138.000000000	
11.1846	124.000000000	
10.8096	133.000000000	
10.4345	136.000000000	
10.0594	141.000000000	
9.6844	170.000000000	
9.3093	190.000000000	
8.9343	210.000000000	
8.5592	271.000000000	
8.1842	289.000000000	
7.8091	328.000000000	
7.4340	366.000000000	
7.0590	447.000000000	
6.6839	460.000000000	
6.3089	559.000000000	
5.9338	642.000000000	
5.5588	746.000000000	
5.1837	842.000000000	
4.8086	946.000000000	
4.4336	1130.000000000	
4.0585	1270.000000000	
3.6835	1465.000000000	
3.3084	1617.000000000	
2.9334	1642.000000000	
2.5583	1404.000000000	
2.1832	972.000000000	
1.8082	520.000000000	
1.4331	160.000000000	
1.0581	64.000000000	
0.6830	26.000000000	
0.3079	19.000000000	
-0.0671	24.000000000	
-0.4422	15.000000000	
-0.8172	9.000000000	
-1.1923	15.000000000	
-1.5673	15.000000000	
-1.9424	9.000000000	
-2.3175	3.000000000	
-2.6925	6.000000000	
-3.0676	3.000000000	
