X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
80.2021	1.000000000	
79.5277	0.000000000	
78.8533	1.000000000	
78.1788	0.000000000	
77.5044	0.000000000	
76.8300	0.000000000	
76.1555	1.000000000	
75.4811	0.000000000	
74.8066	1.000000000	
74.1322	0.000000000	
73.4578	0.000000000	
72.7833	0.000000000	
72.1089	1.000000000	
71.4345	0.000000000	
70.7600	1.000000000	
70.0856	0.000000000	
69.4112	0.000000000	
68.7367	0.000000000	
68.0623	1.000000000	
67.3879	0.000000000	
66.7134	1.000000000	
66.0390	0.000000000	
65.3646	0.000000000	
64.6901	0.000000000	
64.0157	0.000000000	
63.3413	1.000000000	
62.6668	1.000000000	
61.9924	1.000000000	
61.3180	0.000000000	
60.6435	0.000000000	
59.9691	0.000000000	
59.2946	1.000000000	
58.6202	1.000000000	
57.9458	1.000000000	
57.2713	0.000000000	
56.5969	0.000000000	
55.9225	0.000000000	
55.2480	1.000000000	
54.5736	0.000000000	
53.8992	2.000000000	
53.2247	0.000000000	
52.5503	1.000000000	
51.8759	0.000000000	
51.2014	0.000000000	
50.5270	1.000000000	
49.8526	2.000000000	
49.1781	0.000000000	
48.5037	1.000000000	
47.8293	0.000000000	
47.1548	0.000000000	
46.4804	1.000000000	
45.8059	1.000000000	
45.1315	1.000000000	
44.4571	1.000000000	
43.7826	2.000000000	
43.1082	0.000000000	
42.4338	1.000000000	
41.7593	1.000000000	
41.0849	1.000000000	
40.4105	1.000000000	
39.7360	3.000000000	
39.0616	0.000000000	
38.3872	1.000000000	
37.7127	0.000000000	
37.0383	2.000000000	
36.3639	1.000000000	
35.6894	4.000000000	
35.0150	0.000000000	
34.3406	1.000000000	
33.6661	1.000000000	
32.9917	1.000000000	
32.3173	1.000000000	
31.6428	2.000000000	
30.9684	3.000000000	
30.2939	1.000000000	
29.6195	1.000000000	
28.9451	1.000000000	
28.2706	1.000000000	
27.5962	2.000000000	
26.9218	4.000000000	
26.2473	1.000000000	
25.5729	5.000000000	
24.8985	3.000000000	
24.2240	11.000000000	
23.5496	13.000000000	
22.8752	27.000000000	
22.2007	36.000000000	
21.5263	60.000000000	
20.8519	70.000000000	
20.1774	109.000000000	
19.5030	148.000000000	
18.8286	177.000000000	
18.1541	186.000000000	
17.4797	184.000000000	
16.8053	220.000000000	
16.1308	214.000000000	
15.4564	193.000000000	
14.7819	193.000000000	
14.1075	204.000000000	
13.4331	187.000000000	
12.7586	186.000000000	
12.0842	215.000000000	
11.4098	210.000000000	
10.7353	232.000000000	
10.0609	247.000000000	
9.3865	255.000000000	
8.7120	281.000000000	
8.0376	288.000000000	
7.3632	352.000000000	
6.6887	355.000000000	
6.0143	448.000000000	
5.3399	539.000000000	
4.6654	653.000000000	
3.9910	861.000000000	
3.3166	1080.000000000	
2.6421	1423.000000000	
1.9677	1768.000000000	
1.2933	1976.000000000	
0.6188	1685.000000000	
-0.0556	1221.000000000	
-0.7301	666.000000000	
-1.4045	464.000000000	
-2.0789	379.000000000	
-2.7534	423.000000000	
-3.4278	411.000000000	
-4.1022	333.000000000	
-4.7767	186.000000000	
-5.4511	48.000000000	
