X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
47.6051	2.000000000	
47.1597	0.000000000	
46.7143	1.000000000	
46.2689	3.000000000	
45.8235	1.000000000	
45.3781	0.000000000	
44.9327	2.000000000	
44.4873	1.000000000	
44.0419	3.000000000	
43.5965	2.000000000	
43.1511	0.000000000	
42.7058	2.000000000	
42.2604	4.000000000	
41.8150	2.000000000	
41.3696	2.000000000	
40.9242	3.000000000	
40.4788	2.000000000	
40.0334	3.000000000	
39.5880	3.000000000	
39.1426	1.000000000	
38.6972	4.000000000	
38.2518	3.000000000	
37.8064	4.000000000	
37.3610	4.000000000	
36.9157	2.000000000	
36.4703	10.000000000	
36.0249	10.000000000	
35.5795	15.000000000	
35.1341	13.000000000	
34.6887	18.000000000	
34.2433	13.000000000	
33.7979	15.000000000	
33.3525	16.000000000	
32.9071	16.000000000	
32.4617	21.000000000	
32.0163	18.000000000	
31.5709	23.000000000	
31.1255	26.000000000	
30.6802	34.000000000	
30.2348	27.000000000	
29.7894	28.000000000	
29.3440	23.000000000	
28.8986	28.000000000	
28.4532	37.000000000	
28.0078	36.000000000	
27.5624	27.000000000	
27.1170	32.000000000	
26.6716	37.000000000	
26.2262	39.000000000	
25.7808	35.000000000	
25.3354	45.000000000	
24.8901	46.000000000	
24.4447	43.000000000	
23.9993	48.000000000	
23.5539	71.000000000	
23.1085	50.000000000	
22.6631	47.000000000	
22.2177	49.000000000	
21.7723	62.000000000	
21.3269	68.000000000	
20.8815	64.000000000	
20.4361	55.000000000	
19.9907	70.000000000	
19.5453	54.000000000	
19.1000	62.000000000	
18.6546	69.000000000	
18.2092	73.000000000	
17.7638	62.000000000	
17.3184	71.000000000	
16.8730	75.000000000	
16.4276	64.000000000	
15.9822	84.000000000	
15.5368	89.000000000	
15.0914	64.000000000	
14.6460	87.000000000	
14.2006	79.000000000	
13.7552	82.000000000	
13.3099	93.000000000	
12.8645	85.000000000	
12.4191	85.000000000	
11.9737	90.000000000	
11.5283	95.000000000	
11.0829	106.000000000	
10.6375	94.000000000	
10.1921	91.000000000	
9.7467	84.000000000	
9.3013	96.000000000	
8.8559	99.000000000	
8.4105	123.000000000	
7.9651	109.000000000	
7.5197	147.000000000	
7.0744	130.000000000	
6.6290	163.000000000	
6.1836	178.000000000	
5.7382	190.000000000	
5.2928	206.000000000	
4.8474	198.000000000	
4.4020	231.000000000	
3.9566	261.000000000	
3.5112	285.000000000	
3.0658	366.000000000	
2.6204	441.000000000	
2.1750	485.000000000	
1.7296	709.000000000	
1.2843	898.000000000	
0.8389	1119.000000000	
0.3935	1443.000000000	
-0.0519	1696.000000000	
-0.4973	1895.000000000	
-0.9427	1757.000000000	
-1.3881	1479.000000000	
-1.8335	1093.000000000	
-2.2789	868.000000000	
-2.7243	658.000000000	
-3.1697	498.000000000	
-3.6151	463.000000000	
-4.0605	393.000000000	
-4.5058	411.000000000	
-4.9512	436.000000000	
-5.3966	507.000000000	
-5.8420	584.000000000	
-6.2874	682.000000000	
-6.7328	705.000000000	
-7.1782	551.000000000	
-7.6236	367.000000000	
-8.0690	207.000000000	
-8.5144	80.000000000	
-8.9598	18.000000000	
