X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
33.8145	1.000000000	
33.4925	0.000000000	
33.1706	1.000000000	
32.8486	2.000000000	
32.5266	4.000000000	
32.2047	4.000000000	
31.8827	2.000000000	
31.5607	2.000000000	
31.2388	2.000000000	
30.9168	5.000000000	
30.5948	3.000000000	
30.2729	2.000000000	
29.9509	4.000000000	
29.6289	4.000000000	
29.3070	6.000000000	
28.9850	3.000000000	
28.6630	12.000000000	
28.3411	10.000000000	
28.0191	8.000000000	
27.6971	16.000000000	
27.3752	12.000000000	
27.0532	18.000000000	
26.7312	16.000000000	
26.4093	22.000000000	
26.0873	24.000000000	
25.7653	19.000000000	
25.4434	22.000000000	
25.1214	39.000000000	
24.7994	26.000000000	
24.4775	36.000000000	
24.1555	46.000000000	
23.8335	48.000000000	
23.5116	36.000000000	
23.1896	47.000000000	
22.8677	64.000000000	
22.5457	92.000000000	
22.2237	88.000000000	
21.9018	94.000000000	
21.5798	72.000000000	
21.2578	92.000000000	
20.9359	122.000000000	
20.6139	106.000000000	
20.2919	96.000000000	
19.9700	106.000000000	
19.6480	124.000000000	
19.3260	148.000000000	
19.0041	127.000000000	
18.6821	129.000000000	
18.3601	138.000000000	
18.0382	174.000000000	
17.7162	149.000000000	
17.3942	128.000000000	
17.0723	155.000000000	
16.7503	169.000000000	
16.4283	157.000000000	
16.1064	172.000000000	
15.7844	147.000000000	
15.4624	143.000000000	
15.1405	170.000000000	
14.8185	132.000000000	
14.4965	158.000000000	
14.1746	169.000000000	
13.8526	127.000000000	
13.5306	149.000000000	
13.2087	131.000000000	
12.8867	169.000000000	
12.5647	150.000000000	
12.2428	153.000000000	
11.9208	139.000000000	
11.5988	150.000000000	
11.2769	149.000000000	
10.9549	149.000000000	
10.6329	152.000000000	
10.3110	152.000000000	
9.9890	166.000000000	
9.6670	183.000000000	
9.3451	178.000000000	
9.0231	168.000000000	
8.7011	166.000000000	
8.3792	169.000000000	
8.0572	196.000000000	
7.7352	196.000000000	
7.4133	201.000000000	
7.0913	260.000000000	
6.7693	268.000000000	
6.4474	255.000000000	
6.1254	285.000000000	
5.8034	343.000000000	
5.4815	356.000000000	
5.1595	375.000000000	
4.8375	385.000000000	
4.5156	465.000000000	
4.1936	450.000000000	
3.8716	494.000000000	
3.5497	571.000000000	
3.2277	615.000000000	
2.9057	702.000000000	
2.5838	861.000000000	
2.2618	1061.000000000	
1.9398	1330.000000000	
1.6179	1624.000000000	
1.2959	1932.000000000	
0.9739	2291.000000000	
0.6520	2531.000000000	
0.3300	2673.000000000	
0.0080	2624.000000000	
-0.3139	2328.000000000	
-0.6359	1900.000000000	
-0.9579	1529.000000000	
-1.2798	1063.000000000	
-1.6018	768.000000000	
-1.9238	599.000000000	
-2.2457	494.000000000	
-2.5677	394.000000000	
-2.8896	374.000000000	
-3.2116	384.000000000	
-3.5336	402.000000000	
-3.8555	419.000000000	
-4.1775	549.000000000	
-4.4995	606.000000000	
-4.8214	659.000000000	
-5.1434	668.000000000	
-5.4654	523.000000000	
-5.7873	410.000000000	
-6.1093	241.000000000	
-6.4313	137.000000000	
-6.7532	50.000000000	
-7.0752	12.000000000	
