X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
40.8593	1.000000000	
40.4946	0.000000000	
40.1299	0.000000000	
39.7651	1.000000000	
39.4004	0.000000000	
39.0356	0.000000000	
38.6709	1.000000000	
38.3062	1.000000000	
37.9414	1.000000000	
37.5767	1.000000000	
37.2119	1.000000000	
36.8472	2.000000000	
36.4825	3.000000000	
36.1177	1.000000000	
35.7530	1.000000000	
35.3883	5.000000000	
35.0235	4.000000000	
34.6588	6.000000000	
34.2940	5.000000000	
33.9293	10.000000000	
33.5646	9.000000000	
33.1998	9.000000000	
32.8351	12.000000000	
32.4704	11.000000000	
32.1056	12.000000000	
31.7409	18.000000000	
31.3761	16.000000000	
31.0114	17.000000000	
30.6467	24.000000000	
30.2819	20.000000000	
29.9172	18.000000000	
29.5525	21.000000000	
29.1877	28.000000000	
28.8230	22.000000000	
28.4582	24.000000000	
28.0935	43.000000000	
27.7288	45.000000000	
27.3640	47.000000000	
26.9993	35.000000000	
26.6346	42.000000000	
26.2698	53.000000000	
25.9051	53.000000000	
25.5403	63.000000000	
25.1756	60.000000000	
24.8109	76.000000000	
24.4461	80.000000000	
24.0814	83.000000000	
23.7167	83.000000000	
23.3519	94.000000000	
22.9872	82.000000000	
22.6224	114.000000000	
22.2577	104.000000000	
21.8930	106.000000000	
21.5282	114.000000000	
21.1635	111.000000000	
20.7988	100.000000000	
20.4340	127.000000000	
20.0693	114.000000000	
19.7045	127.000000000	
19.3398	141.000000000	
18.9751	116.000000000	
18.6103	123.000000000	
18.2456	125.000000000	
17.8809	130.000000000	
17.5161	137.000000000	
17.1514	146.000000000	
16.7866	148.000000000	
16.4219	161.000000000	
16.0572	144.000000000	
15.6924	143.000000000	
15.3277	145.000000000	
14.9629	127.000000000	
14.5982	135.000000000	
14.2335	164.000000000	
13.8687	159.000000000	
13.5040	160.000000000	
13.1393	168.000000000	
12.7745	146.000000000	
12.4098	128.000000000	
12.0450	155.000000000	
11.6803	138.000000000	
11.3156	167.000000000	
10.9508	183.000000000	
10.5861	153.000000000	
10.2214	159.000000000	
9.8566	159.000000000	
9.4919	159.000000000	
9.1271	157.000000000	
8.7624	141.000000000	
8.3977	195.000000000	
8.0329	243.000000000	
7.6682	231.000000000	
7.3035	281.000000000	
6.9387	308.000000000	
6.5740	366.000000000	
6.2092	447.000000000	
5.8445	564.000000000	
5.4798	756.000000000	
5.1150	860.000000000	
4.7503	1012.000000000	
4.3856	1200.000000000	
4.0208	1293.000000000	
3.6561	1338.000000000	
3.2913	1188.000000000	
2.9266	1143.000000000	
2.5619	1062.000000000	
2.1971	994.000000000	
1.8324	828.000000000	
1.4677	717.000000000	
1.1029	696.000000000	
0.7382	636.000000000	
0.3734	538.000000000	
0.0087	589.000000000	
-0.3560	593.000000000	
-0.7208	606.000000000	
-1.0855	598.000000000	
-1.4502	701.000000000	
-1.8150	761.000000000	
-2.1797	888.000000000	
-2.5445	1009.000000000	
-2.9092	1017.000000000	
-3.2739	986.000000000	
-3.6387	852.000000000	
-4.0034	647.000000000	
-4.3681	319.000000000	
-4.7329	108.000000000	
-5.0976	41.000000000	
-5.4624	11.000000000	
