X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
21.3789	1.000000000	
21.1468	0.000000000	
20.9146	0.000000000	
20.6825	0.000000000	
20.4504	0.000000000	
20.2182	0.000000000	
19.9861	0.000000000	
19.7540	0.000000000	
19.5219	0.000000000	
19.2897	3.000000000	
19.0576	1.000000000	
18.8255	0.000000000	
18.5933	0.000000000	
18.3612	0.000000000	
18.1291	0.000000000	
17.8969	1.000000000	
17.6648	0.000000000	
17.4327	0.000000000	
17.2005	1.000000000	
16.9684	0.000000000	
16.7363	0.000000000	
16.5041	1.000000000	
16.2720	1.000000000	
16.0399	1.000000000	
15.8077	3.000000000	
15.5756	1.000000000	
15.3435	1.000000000	
15.1113	2.000000000	
14.8792	3.000000000	
14.6471	2.000000000	
14.4150	1.000000000	
14.1828	0.000000000	
13.9507	1.000000000	
13.7186	0.000000000	
13.4864	2.000000000	
13.2543	1.000000000	
13.0222	2.000000000	
12.7900	3.000000000	
12.5579	2.000000000	
12.3258	3.000000000	
12.0936	1.000000000	
11.8615	4.000000000	
11.6294	1.000000000	
11.3972	2.000000000	
11.1651	2.000000000	
10.9330	4.000000000	
10.7008	6.000000000	
10.4687	4.000000000	
10.2366	8.000000000	
10.0045	7.000000000	
9.7723	8.000000000	
9.5402	5.000000000	
9.3081	10.000000000	
9.0759	14.000000000	
8.8438	8.000000000	
8.6117	5.000000000	
8.3795	9.000000000	
8.1474	11.000000000	
7.9153	14.000000000	
7.6831	7.000000000	
7.4510	10.000000000	
7.2189	5.000000000	
6.9867	7.000000000	
6.7546	10.000000000	
6.5225	6.000000000	
6.2903	7.000000000	
6.0582	5.000000000	
5.8261	1.000000000	
5.5939	4.000000000	
5.3618	6.000000000	
5.1297	4.000000000	
4.8976	5.000000000	
4.6654	5.000000000	
4.4333	8.000000000	
4.2012	4.000000000	
3.9690	8.000000000	
3.7369	2.000000000	
3.5048	9.000000000	
3.2726	9.000000000	
3.0405	8.000000000	
2.8084	5.000000000	
2.5762	10.000000000	
2.3441	14.000000000	
2.1120	15.000000000	
1.8798	13.000000000	
1.6477	26.000000000	
1.4156	43.000000000	
1.1834	77.000000000	
0.9513	82.000000000	
0.7192	112.000000000	
0.4870	163.000000000	
0.2549	216.000000000	
0.0228	371.000000000	
-0.2093	490.000000000	
-0.4415	603.000000000	
-0.6736	710.000000000	
-0.9057	779.000000000	
-1.1379	717.000000000	
-1.3700	749.000000000	
-1.6021	839.000000000	
-1.8343	941.000000000	
-2.0664	1093.000000000	
-2.2985	1254.000000000	
-2.5307	1380.000000000	
-2.7628	1497.000000000	
-2.9949	1595.000000000	
-3.2271	1736.000000000	
-3.4592	1626.000000000	
-3.6913	1623.000000000	
-3.9235	1691.000000000	
-4.1556	1677.000000000	
-4.3877	1665.000000000	
-4.6198	1714.000000000	
-4.8520	1742.000000000	
-5.0841	1678.000000000	
-5.3162	1773.000000000	
-5.5484	1735.000000000	
-5.7805	1673.000000000	
-6.0126	1557.000000000	
-6.2448	1323.000000000	
-6.4769	992.000000000	
-6.7090	710.000000000	
-6.9412	419.000000000	
-7.1733	244.000000000	
-7.4054	112.000000000	
-7.6376	43.000000000	
-7.8697	21.000000000	
-8.1018	2.000000000	
