X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
35.9081	1.000000000	
35.6519	0.000000000	
35.3957	0.000000000	
35.1395	0.000000000	
34.8833	0.000000000	
34.6271	2.000000000	
34.3709	1.000000000	
34.1147	0.000000000	
33.8585	0.000000000	
33.6023	0.000000000	
33.3461	0.000000000	
33.0899	0.000000000	
32.8337	0.000000000	
32.5775	2.000000000	
32.3213	0.000000000	
32.0651	0.000000000	
31.8089	0.000000000	
31.5527	0.000000000	
31.2965	0.000000000	
31.0403	0.000000000	
30.7841	0.000000000	
30.5279	1.000000000	
30.2717	0.000000000	
30.0155	0.000000000	
29.7593	1.000000000	
29.5031	3.000000000	
29.2469	0.000000000	
28.9907	2.000000000	
28.7345	2.000000000	
28.4783	2.000000000	
28.2221	1.000000000	
27.9659	1.000000000	
27.7097	1.000000000	
27.4535	0.000000000	
27.1973	3.000000000	
26.9411	1.000000000	
26.6849	1.000000000	
26.4286	0.000000000	
26.1724	0.000000000	
25.9162	1.000000000	
25.6600	3.000000000	
25.4038	0.000000000	
25.1476	3.000000000	
24.8914	1.000000000	
24.6352	2.000000000	
24.3790	5.000000000	
24.1228	1.000000000	
23.8666	3.000000000	
23.6104	3.000000000	
23.3542	5.000000000	
23.0980	3.000000000	
22.8418	3.000000000	
22.5856	3.000000000	
22.3294	3.000000000	
22.0732	5.000000000	
21.8170	5.000000000	
21.5608	5.000000000	
21.3046	2.000000000	
21.0484	4.000000000	
20.7922	5.000000000	
20.5360	3.000000000	
20.2798	5.000000000	
20.0236	2.000000000	
19.7674	8.000000000	
19.5112	3.000000000	
19.2550	4.000000000	
18.9988	3.000000000	
18.7426	5.000000000	
18.4864	6.000000000	
18.2302	5.000000000	
17.9740	1.000000000	
17.7178	4.000000000	
17.4616	2.000000000	
17.2054	1.000000000	
16.9492	3.000000000	
16.6930	7.000000000	
16.4368	6.000000000	
16.1806	2.000000000	
15.9244	2.000000000	
15.6682	7.000000000	
15.4120	4.000000000	
15.1558	3.000000000	
14.8996	3.000000000	
14.6434	6.000000000	
14.3872	8.000000000	
14.1310	4.000000000	
13.8748	7.000000000	
13.6186	9.000000000	
13.3623	5.000000000	
13.1061	2.000000000	
12.8499	6.000000000	
12.5937	3.000000000	
12.3375	3.000000000	
12.0813	1.000000000	
11.8251	10.000000000	
11.5689	7.000000000	
11.3127	10.000000000	
11.0565	11.000000000	
10.8003	14.000000000	
10.5441	16.000000000	
10.2879	22.000000000	
10.0317	45.000000000	
9.7755	52.000000000	
9.5193	64.000000000	
9.2631	92.000000000	
9.0069	119.000000000	
8.7507	195.000000000	
8.4945	291.000000000	
8.2383	399.000000000	
7.9821	553.000000000	
7.7259	746.000000000	
7.4697	865.000000000	
7.2135	940.000000000	
6.9573	968.000000000	
6.7011	885.000000000	
6.4449	725.000000000	
6.1887	652.000000000	
5.9325	509.000000000	
5.6763	377.000000000	
5.4201	273.000000000	
5.1639	162.000000000	
4.9077	125.000000000	
4.6515	75.000000000	
4.3953	33.000000000	
4.1391	32.000000000	
3.8829	13.000000000	
3.6267	4.000000000	
3.3705	3.000000000	
