X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
27.9340	2.000000000	
27.7073	3.000000000	
27.4806	0.000000000	
27.2538	1.000000000	
27.0271	2.000000000	
26.8004	1.000000000	
26.5737	2.000000000	
26.3469	0.000000000	
26.1202	3.000000000	
25.8935	2.000000000	
25.6668	0.000000000	
25.4401	10.000000000	
25.2133	2.000000000	
24.9866	5.000000000	
24.7599	7.000000000	
24.5332	7.000000000	
24.3065	3.000000000	
24.0797	8.000000000	
23.8530	5.000000000	
23.6263	9.000000000	
23.3996	5.000000000	
23.1728	15.000000000	
22.9461	8.000000000	
22.7194	14.000000000	
22.4927	14.000000000	
22.2660	12.000000000	
22.0392	22.000000000	
21.8125	20.000000000	
21.5858	24.000000000	
21.3591	27.000000000	
21.1323	34.000000000	
20.9056	29.000000000	
20.6789	39.000000000	
20.4522	35.000000000	
20.2255	23.000000000	
19.9987	30.000000000	
19.7720	37.000000000	
19.5453	42.000000000	
19.3186	39.000000000	
19.0919	46.000000000	
18.8651	44.000000000	
18.6384	44.000000000	
18.4117	34.000000000	
18.1850	54.000000000	
17.9582	46.000000000	
17.7315	38.000000000	
17.5048	43.000000000	
17.2781	43.000000000	
17.0514	49.000000000	
16.8246	40.000000000	
16.5979	54.000000000	
16.3712	31.000000000	
16.1445	49.000000000	
15.9178	46.000000000	
15.6910	36.000000000	
15.4643	30.000000000	
15.2376	36.000000000	
15.0109	31.000000000	
14.7841	43.000000000	
14.5574	44.000000000	
14.3307	45.000000000	
14.1040	41.000000000	
13.8773	44.000000000	
13.6505	25.000000000	
13.4238	42.000000000	
13.1971	49.000000000	
12.9704	45.000000000	
12.7436	45.000000000	
12.5169	56.000000000	
12.2902	53.000000000	
12.0635	69.000000000	
11.8368	61.000000000	
11.6100	74.000000000	
11.3833	83.000000000	
11.1566	107.000000000	
10.9299	106.000000000	
10.7032	117.000000000	
10.4764	117.000000000	
10.2497	123.000000000	
10.0230	145.000000000	
9.7963	170.000000000	
9.5695	191.000000000	
9.3428	213.000000000	
9.1161	227.000000000	
8.8894	270.000000000	
8.6627	291.000000000	
8.4359	341.000000000	
8.2092	401.000000000	
7.9825	440.000000000	
7.7558	551.000000000	
7.5290	647.000000000	
7.3023	850.000000000	
7.0756	1101.000000000	
6.8489	1359.000000000	
6.6222	1630.000000000	
6.3954	1877.000000000	
6.1687	1936.000000000	
5.9420	1773.000000000	
5.7153	1427.000000000	
5.4886	922.000000000	
5.2618	558.000000000	
5.0351	332.000000000	
4.8084	161.000000000	
4.5817	125.000000000	
4.3549	90.000000000	
4.1282	76.000000000	
3.9015	73.000000000	
3.6748	49.000000000	
3.4481	48.000000000	
3.2213	39.000000000	
2.9946	37.000000000	
2.7679	34.000000000	
2.5412	32.000000000	
2.3145	26.000000000	
2.0877	29.000000000	
1.8610	27.000000000	
1.6343	23.000000000	
1.4076	24.000000000	
1.1808	21.000000000	
0.9541	10.000000000	
0.7274	18.000000000	
0.5007	18.000000000	
0.2740	11.000000000	
0.0472	8.000000000	
-0.1795	3.000000000	
-0.4062	2.000000000	
-0.6329	1.000000000	
-0.8597	3.000000000	
