X Unit:	NanoMeter
Y Unit:	Pixel

X	Y
19.9861	1.000000000	
19.7949	1.000000000	
19.6037	1.000000000	
19.4125	2.000000000	
19.2213	3.000000000	
19.0301	1.000000000	
18.8389	0.000000000	
18.6478	1.000000000	
18.4566	1.000000000	
18.2654	4.000000000	
18.0742	3.000000000	
17.8830	6.000000000	
17.6918	6.000000000	
17.5006	3.000000000	
17.3094	5.000000000	
17.1182	10.000000000	
16.9270	13.000000000	
16.7359	8.000000000	
16.5447	12.000000000	
16.3535	10.000000000	
16.1623	9.000000000	
15.9711	12.000000000	
15.7799	14.000000000	
15.5887	10.000000000	
15.3975	7.000000000	
15.2063	13.000000000	
15.0152	5.000000000	
14.8240	5.000000000	
14.6328	8.000000000	
14.4416	5.000000000	
14.2504	19.000000000	
14.0592	2.000000000	
13.8680	5.000000000	
13.6768	8.000000000	
13.4856	13.000000000	
13.2945	11.000000000	
13.1033	7.000000000	
12.9121	4.000000000	
12.7209	11.000000000	
12.5297	7.000000000	
12.3385	6.000000000	
12.1473	2.000000000	
11.9561	6.000000000	
11.7649	9.000000000	
11.5738	8.000000000	
11.3826	3.000000000	
11.1914	6.000000000	
11.0002	12.000000000	
10.8090	5.000000000	
10.6178	5.000000000	
10.4266	7.000000000	
10.2354	8.000000000	
10.0442	11.000000000	
9.8530	9.000000000	
9.6619	9.000000000	
9.4707	7.000000000	
9.2795	10.000000000	
9.0883	5.000000000	
8.8971	5.000000000	
8.7059	5.000000000	
8.5147	9.000000000	
8.3235	9.000000000	
8.1323	10.000000000	
7.9412	11.000000000	
7.7500	14.000000000	
7.5588	15.000000000	
7.3676	13.000000000	
7.1764	17.000000000	
6.9852	26.000000000	
6.7940	19.000000000	
6.6028	27.000000000	
6.4116	29.000000000	
6.2205	46.000000000	
6.0293	52.000000000	
5.8381	51.000000000	
5.6469	65.000000000	
5.4557	78.000000000	
5.2645	95.000000000	
5.0733	147.000000000	
4.8821	159.000000000	
4.6909	258.000000000	
4.4997	358.000000000	
4.3086	516.000000000	
4.1174	669.000000000	
3.9262	926.000000000	
3.7350	1235.000000000	
3.5438	1577.000000000	
3.3526	2070.000000000	
3.1614	2331.000000000	
2.9702	2377.000000000	
2.7790	2503.000000000	
2.5879	2331.000000000	
2.3967	2031.000000000	
2.2055	1880.000000000	
2.0143	1617.000000000	
1.8231	1315.000000000	
1.6319	1052.000000000	
1.4407	897.000000000	
1.2495	722.000000000	
1.0583	607.000000000	
0.8672	529.000000000	
0.6760	452.000000000	
0.4848	394.000000000	
0.2936	361.000000000	
0.1024	389.000000000	
-0.0888	293.000000000	
-0.2800	318.000000000	
-0.4712	300.000000000	
-0.6624	258.000000000	
-0.8536	249.000000000	
-1.0447	242.000000000	
-1.2359	269.000000000	
-1.4271	251.000000000	
-1.6183	243.000000000	
-1.8095	253.000000000	
-2.0007	271.000000000	
-2.1919	331.000000000	
-2.3831	369.000000000	
-2.5743	489.000000000	
-2.7654	473.000000000	
-2.9566	437.000000000	
-3.1478	333.000000000	
-3.3390	231.000000000	
-3.5302	167.000000000	
-3.7214	116.000000000	
-3.9126	82.000000000	
-4.1038	43.000000000	
-4.2950	9.000000000	
